f0,f1,f2,Voz (1 - Masculina. 2 - Feminina)
140.5,413.9,825.8,1
135.1,401.3,941.7,1
138.8,406.8,961.9,1
208.6,414.8,1038,1
201.5,404.2,1012,1
227.3,423.2,849.8,1
266.2,666.2,914.6,1
233.8,619.2,942.7,1
226.5,629.7,945.4,1
177.7,349.93,522.2,1
172.9,355.6,488.1,1
151.9,302.9,457.2,1
252.9,520.1,1019.6,1
154.4,431.9,744.2,1
150.9,416,838.2,1
123.83,255.93,627.45,1
129.1,377.76,530.78,1
125.76,617.9,847.57,1
115.8,582.35,1049,1
117.53,587.58,930.6,1
118.25,219.03,579.88,1
165.9,321.43,788.02,1
165.9,476.96,788.02,1
183.18,511.52,649.71,1
146.08,477.87,1007.64,1
155.95,358.94,988.87,1
188.33,513.18,1063.38,1
116.69,439.86,976.39,1
110.1,445.1,964.94,1
121.65,422.2,976.5,1
130.91,515.09,896.82,1
132.33,639.22,894.91,1
128.97,640.18,893.44,1
126,498,867,1
122,366,843,1
119,467,932,1
120.31,545.12,761.98,1
228.86,570.88,923.18,1
120.45,565.8,904.54,1
274,545,972,1
249,486,990,1
245,607,979,1
219,435,760,1
220,445,775,1
215,430,860,1
104,528,840,1
216,536,864,1
106,528,950,1
225,455,895,1
215,425,955,1
215,425,950,1
129,636,891,1
130,636,764.9,1
128.9,635.9,890,1
164.1,664.7,823.6,1
169.8,624.1,944.1,1
172.7,647.5,988.3,1
127.2,381.4,879.5,1
115.2,447.9,890.4,1
115.3,468.5,936.8,1
146.41,294.46,440.87,1
147.37,295.49,442.11,1
146.83,293.56,440.48,1
94.3,568.2,945.2,1
99.6,589.8,891.4,1
191.2,568.2,939.8,1
115.7,545.9,765.6,1
116.8,455.9,917.5,1
114.8,458.7,1024.3,1
253.5,511.5,746.7,2
230.8,496.3,723.9,2
238.3,503.9,777.1,2
120,360,733,1
102,513,715,1
117,452,702,1
115,587,1037,1
123,562,973,1
118,470,778,1
217,536,858,1
219,541,976,1
211,527,844,1
161,485,848,1
172,490,832,1
180,507,854,1
234,460,907,1
240.5,485,843.5,1
233,470,937,1
232,572,900,1
223,665,773,1
229,574,917,1
152,486,851,1
168,491,842,1
136,490,856,1
158.3,462.9,891.4,1
146.8,406.7,716.8,1
179.6,521.4,943.9,1
151.2,569.1,836.6,1
147.2,535.3,908.7,1
153.7,543.8,843.7,1
